,Unnamed: 0,location,total_sqft,bath,price,bhk
0,0,1st Block Jayanagar,2850.0,4.0,428.0,4.0
1,1,1st Block Jayanagar,1630.0,3.0,194.0,3.0
2,2,1st Block Jayanagar,1875.0,3.0,235.0,3.0
3,3,1st Block Jayanagar,1200.0,3.0,130.0,3.0
4,4,1st Block Jayanagar,1235.0,2.0,148.0,2.0
5,5,1st Block Jayanagar,2750.0,4.0,413.0,4.0
6,6,1st Block Jayanagar,2450.0,4.0,368.0,4.0
7,8,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
8,9,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
9,10,1st Phase JP Nagar,2065.0,3.0,210.0,3.0
10,12,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
11,13,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
12,14,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
13,15,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
14,16,1st Phase JP Nagar,840.0,1.0,50.0,1.0
15,17,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
16,18,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
17,19,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
18,20,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
19,21,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
20,22,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
21,24,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
22,26,1st Phase JP Nagar,900.0,2.0,75.0,2.0
23,27,2nd Phase Judicial Layout,1450.0,3.0,50.75,3.0
24,28,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
25,29,2nd Phase Judicial Layout,1350.0,3.0,47.25,3.0
26,30,2nd Phase Judicial Layout,1350.0,3.0,47.25,3.0
27,31,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
28,32,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
29,33,2nd Phase Judicial Layout,1350.0,3.0,47.25,3.0
30,34,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
31,35,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
32,36,2nd Stage Nagarbhavi,3000.0,6.0,451.0,6.0
33,37,2nd Stage Nagarbhavi,2400.0,6.0,450.0,6.0
34,38,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
35,39,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
36,40,2nd Stage Nagarbhavi,1500.0,4.0,230.0,4.0
37,41,5th Block Hbr Layout,1206.0,2.0,56.0,2.0
38,42,5th Block Hbr Layout,1270.0,3.0,70.0,3.0
39,43,5th Block Hbr Layout,1312.0,2.0,69.0,2.0
40,44,5th Block Hbr Layout,1100.0,2.0,48.0,2.0
41,45,5th Block Hbr Layout,3600.0,5.0,130.0,5.0
42,46,5th Block Hbr Layout,5100.0,6.0,300.0,6.0
43,47,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
44,48,5th Phase JP Nagar,1150.0,2.0,52.5,2.0
45,49,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
46,50,5th Phase JP Nagar,1207.0,2.0,63.0,2.0
47,51,5th Phase JP Nagar,1725.0,3.0,100.0,3.0
48,52,5th Phase JP Nagar,1440.0,2.0,60.0,2.0
49,53,5th Phase JP Nagar,1700.0,3.0,100.0,3.0
50,55,5th Phase JP Nagar,2500.0,5.0,110.0,5.0
51,56,5th Phase JP Nagar,600.0,1.0,30.0,1.0
52,57,5th Phase JP Nagar,1390.0,2.0,65.0,2.0
53,58,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
54,59,5th Phase JP Nagar,1000.0,2.0,48.0,2.0
55,60,5th Phase JP Nagar,1350.0,3.0,75.0,3.0
56,61,5th Phase JP Nagar,552.0,1.0,23.5,1.0
57,62,5th Phase JP Nagar,1200.0,2.0,51.0,2.0
58,66,5th Phase JP Nagar,1030.0,2.0,57.0,2.0
59,67,5th Phase JP Nagar,1200.0,2.0,68.0,2.0
60,68,5th Phase JP Nagar,1190.0,2.0,61.8,2.0
61,69,5th Phase JP Nagar,4000.0,5.0,170.0,5.0
62,70,5th Phase JP Nagar,1080.0,2.0,53.0,2.0
63,71,5th Phase JP Nagar,1041.0,2.0,54.0,2.0
64,72,5th Phase JP Nagar,812.0,2.0,42.0,2.0
65,73,5th Phase JP Nagar,1010.0,2.0,57.0,2.0
66,75,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
67,76,6th Phase JP Nagar,1192.0,2.0,74.0,2.0
68,77,6th Phase JP Nagar,1180.0,2.0,80.0,2.0
69,78,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
70,79,6th Phase JP Nagar,1645.0,3.0,100.0,3.0
71,80,6th Phase JP Nagar,1140.0,2.0,65.0,2.0
72,81,6th Phase JP Nagar,2040.0,3.0,200.0,3.0
73,82,6th Phase JP Nagar,1213.0,2.0,63.0,2.0
74,83,6th Phase JP Nagar,1216.0,2.0,60.0,2.0
75,84,6th Phase JP Nagar,1460.0,2.0,80.0,2.0
76,85,6th Phase JP Nagar,2003.0,3.0,200.0,3.0
77,86,6th Phase JP Nagar,1810.0,3.0,131.0,3.0
78,87,6th Phase JP Nagar,1515.0,3.0,135.0,3.0
79,88,6th Phase JP Nagar,1192.0,2.0,75.0,2.0
80,89,6th Phase JP Nagar,1280.0,2.0,88.0,2.0
81,90,7th Phase JP Nagar,1080.0,2.0,72.0,2.0
82,91,7th Phase JP Nagar,1270.0,2.0,93.0,2.0
83,92,7th Phase JP Nagar,1420.0,3.0,100.0,3.0
84,93,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
85,94,7th Phase JP Nagar,1245.0,2.0,94.0,2.0
86,95,7th Phase JP Nagar,1175.0,2.0,82.0,2.0
87,96,7th Phase JP Nagar,1400.0,3.0,95.0,3.0
88,97,7th Phase JP Nagar,2225.0,3.0,160.0,3.0
89,98,7th Phase JP Nagar,1050.0,2.0,71.0,2.0
90,99,7th Phase JP Nagar,1100.0,2.0,46.0,2.0
91,100,7th Phase JP Nagar,918.0,2.0,50.49,2.0
92,101,7th Phase JP Nagar,1450.0,3.0,100.0,3.0
93,102,7th Phase JP Nagar,1190.0,2.0,49.98,2.0
94,103,7th Phase JP Nagar,1420.0,3.0,96.0,3.0
95,104,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
96,105,7th Phase JP Nagar,980.0,2.0,69.0,2.0
97,106,7th Phase JP Nagar,1180.0,2.0,72.0,2.0
98,110,7th Phase JP Nagar,1400.0,3.0,115.0,3.0
